,song,album,album_id,artists,track_number,disc_number
2459,No More Tears,No More Tears (Expanded Edition),6eh82ojicL8RSJF7GkYTh7,['Ozzy Osbourne'],5,1
2497,"Only When I Dance (From ""Heartbreakers)",Heartbreakers,1jmmWX5H2E908iVImADcQn,['Becca'],1,1
2507,Heartbreakers Suite 1,Heartbreakers,1jmmWX5H2E908iVImADcQn,['John Debney'],11,1
2508,Heartbreakers Suite 2,Heartbreakers,1jmmWX5H2E908iVImADcQn,['John Debney'],12,1
2517,Dirty Money,Dirty Money,1HWeoKv9Pi7Mkw3oQA7Yud,['UGK'],9,1
2626,Immortality Lessons,Immortality Lessons,07msZPxUws8OT6Ux035fKx,['Cul De Sac'],3,1
2762,Nightbreaker,Nightbreaker,2fAuHTQFTnZ8svnSYABsfG,['Riot'],5,1
2806,Mars In October,Mars In October,56Yb756srTeturyIRnNjHd,['Mike Fageros'],1,1
2840,Guide My Feet,Guide My Feet,7CwVibAR2gGHc59rDE7StT,"['Kim And Reggie Harris', 'Magpie']",6,1
2862,El Dorado,El Dorado,3B1NYACgkOMnhWhvLGoZ4g,['Luna Blanca'],2,1
2967,Memory Hill,Memory Hill - canceled,1430XCVQOH8rnltSNKmCsK,['Dave Gerard'],7,1
3026,Gung Ho,Gung Ho,6H6ntLDDo8dC7dHKg1UYSE,['Patti Smith'],13,1
3135,Americano,Americano,1jbnwCuyLW2PHExqaZpGRJ,['Roger Clyne & The Peacemakers'],1,1
3193,Blue Monk,Blue Monk,5cW6tRz8KkaBGfDLw0iD7z,"['Aki Takase', 'David Murray']",1,1
3215,War to End All Wars,War to End All Wars,5lH9cltXVVmNrZ2jxJy5nF,['Yngwie Malmsteen'],13,1
3226,The New Romance,The New Romance,0eMdX2PZS5iMStFJuzbdgk,['Pretty Girls Make Graves'],10,1
3232,Gehen,Gehen,6hicUT2muhfWRADIAZkGro,['Swod'],4,1
3281,Stand Up,Stand Up,5SODWRLd9UrjVmhwd5RXwE,['Everyday Sunday'],4,1
3289,Stand Up - remix,Stand Up,5SODWRLd9UrjVmhwd5RXwE,['Everyday Sunday'],12,1
3344,Nobody Safe,Nobody Safe,1w3bK9CG80xsuDPlrz5EV7,"['Rich The Kid', 'YoungBoy Never Broke Again']",1,1
3371,I Will Stand,I Will Stand,5ciyHwetCfRiFA4BS7SMKO,['Kenny Chesney'],4,1
3423,El Santo,The Return of El Santo,5cOccFEax9P6EPRJc4xPx9,['King Chango'],2,1
3489,The Impossible Silence,The Impossible Silence,2S8C0rllkQYO32eeMIvWbm,['Eric Hilton'],10,1
